start_s,end_s,midi_or_hz,confidence
7.523,7.623,291.97,0.08
7.546,7.646,290.29,0.08
7.57,7.67,288.62,0.08
7.593,7.693,288.62,0.04
7.616,7.716,285.3,0.02
7.639,7.739,277.18,0.02
7.663,7.763,272.42,0.02
7.686,7.786,275.59,0.01
7.709,7.809,275.59,0.01
7.732,7.832,277.18,0.01
7.755,7.855,278.79,0.01
7.779,7.879,266.2,0.01
7.802,7.902,264.67,0.03
7.825,7.925,266.2,0.09
7.848,7.948,266.2,0.21
7.872,7.972,267.74,0.28
7.895,7.995,267.74,0.43
7.918,8.018,267.74,0.43
7.941,8.041,267.74,0.55
7.964,8.064,267.74,0.69
7.988,8.088,267.74,0.76
8.011,8.111,267.74,0.69
8.034,8.134,266.2,0.69
8.057,8.157,266.2,0.69
8.081,8.181,266.2,0.76
8.104,8.204,264.67,0.76
8.127,8.227,264.67,0.83
8.15,8.25,264.67,0.69
8.173,8.273,264.67,0.69
8.197,8.297,264.67,0.62
8.22,8.32,264.67,0.37
8.243,8.343,264.67,0.24
8.266,8.366,266.2,0.09
8.29,8.39,267.74,0.03
8.313,8.413,270.85,0.01
8.336,8.436,274.0,0.01
8.382,8.482,349.23,0.01
8.406,8.506,351.25,0.01
8.429,8.529,353.29,0.01
8.452,8.552,353.29,0.04
8.475,8.575,353.29,0.15
8.499,8.599,353.29,0.24
8.522,8.622,353.29,0.43
8.545,8.645,353.29,0.55
8.568,8.668,351.25,0.76
8.591,8.691,351.25,0.83
8.615,8.715,351.25,0.83
8.638,8.738,351.25,0.89
8.661,8.761,351.25,0.89
8.684,8.784,351.25,0.89
8.707,8.807,351.25,0.89
8.731,8.831,351.25,0.89
8.754,8.854,351.25,0.89
8.777,8.877,351.25,0.89
8.8,8.9,351.25,0.89
8.824,8.924,353.29,0.89
8.847,8.947,353.29,0.89
8.87,8.97,353.29,0.83
8.893,8.993,353.29,0.83
8.916,9.016,353.29,0.83
8.94,9.04,353.29,0.83
8.963,9.063,353.29,0.83
8.986,9.086,353.29,0.89
9.009,9.109,353.29,0.83
9.033,9.133,355.33,0.83
9.056,9.156,355.33,0.76
9.079,9.179,355.33,0.76
9.102,9.202,355.33,0.76
9.125,9.225,355.33,0.69
9.149,9.249,355.33,0.62
9.172,9.272,355.33,0.62
9.195,9.295,355.33,0.62
9.218,9.318,355.33,0.62
9.242,9.342,355.33,0.69
9.265,9.365,355.33,0.76
9.288,9.388,355.33,0.76
9.311,9.411,355.33,0.76
9.334,9.434,355.33,0.76
9.358,9.458,355.33,0.76
9.381,9.481,355.33,0.76
9.404,9.504,355.33,0.76
9.427,9.527,355.33,0.76
9.451,9.551,355.33,0.69
9.474,9.574,355.33,0.69
9.497,9.597,355.33,0.69
9.52,9.62,355.33,0.69
9.543,9.643,355.33,0.76
9.567,9.667,355.33,0.69
9.59,9.69,355.33,0.69
9.613,9.713,355.33,0.48
9.636,9.736,355.33,0.48
9.66,9.76,355.33,0.28
9.683,9.783,355.33,0.07
9.706,9.806,355.33,0.06
9.729,9.829,355.33,0.09
9.752,9.852,355.33,0.18
9.776,9.876,355.33,0.37
9.799,9.899,355.33,0.48
9.822,9.922,355.33,0.62
9.845,9.945,355.33,0.69
9.868,9.968,355.33,0.83
9.892,9.992,355.33,0.89
9.915,10.015,355.33,0.89
9.938,10.038,355.33,0.89
9.961,10.061,355.33,0.89
9.985,10.085,355.33,0.89
10.008,10.108,355.33,0.89
10.031,10.131,355.33,0.89
10.054,10.154,355.33,0.89
10.077,10.177,355.33,0.83
10.101,10.201,355.33,0.89
10.124,10.224,355.33,0.89
10.147,10.247,355.33,0.89
10.17,10.27,355.33,0.83
10.194,10.294,355.33,0.83
10.217,10.317,355.33,0.83
10.24,10.34,355.33,0.76
10.263,10.363,355.33,0.83
10.286,10.386,355.33,0.76
10.31,10.41,355.33,0.83
10.333,10.433,355.33,0.83
10.356,10.456,355.33,0.89
10.379,10.479,355.33,0.89
10.403,10.503,355.33,0.89
10.426,10.526,355.33,0.89
10.449,10.549,355.33,0.83
10.472,10.572,355.33,0.83
10.495,10.595,355.33,0.76
10.519,10.619,355.33,0.76
10.542,10.642,355.33,0.69
10.565,10.665,355.33,0.69
10.588,10.688,355.33,0.69
10.612,10.712,355.33,0.69
10.635,10.735,355.33,0.69
10.658,10.758,355.33,0.62
10.681,10.781,355.33,0.62
10.704,10.804,355.33,0.62
10.728,10.828,355.33,0.62
10.751,10.851,355.33,0.62
10.774,10.874,355.33,0.55
10.797,10.897,355.33,0.55
10.82,10.92,355.33,0.48
10.844,10.944,355.33,0.55
10.867,10.967,355.33,0.43
10.89,10.99,355.33,0.43
10.913,11.013,355.33,0.43
10.937,11.037,355.33,0.43
10.96,11.06,355.33,0.43
10.983,11.083,355.33,0.37
11.006,11.106,355.33,0.32
11.029,11.129,355.33,0.24
11.053,11.153,355.33,0.02
11.076,11.176,355.33,0.03
11.099,11.199,355.33,0.08
11.122,11.222,355.33,0.21
11.146,11.246,355.33,0.32
11.169,11.269,355.33,0.43
11.192,11.292,355.33,0.48
11.215,11.315,355.33,0.55
11.238,11.338,355.33,0.69
11.262,11.362,355.33,0.83
11.285,11.385,355.33,0.83
11.308,11.408,355.33,0.83
11.331,11.431,355.33,0.83
11.355,11.455,355.33,0.83
11.378,11.478,355.33,0.83
11.401,11.501,355.33,0.83
11.424,11.524,355.33,0.83
11.447,11.547,355.33,0.83
11.471,11.571,355.33,0.83
11.494,11.594,355.33,0.89
11.517,11.617,355.33,0.89
11.54,11.64,355.33,0.89
11.564,11.664,355.33,0.89
11.587,11.687,355.33,0.89
11.61,11.71,355.33,0.83
11.633,11.733,355.33,0.83
11.656,11.756,355.33,0.76
11.68,11.78,355.33,0.69
11.703,11.803,355.33,0.62
11.726,11.826,355.33,0.43
11.749,11.849,355.33,0.15
11.773,11.873,355.33,0.11
11.796,11.896,357.39,0.13
11.819,11.919,357.39,0.21
11.842,11.942,357.39,0.37
11.865,11.965,357.39,0.43
11.889,11.989,357.39,0.48
11.912,12.012,357.39,0.55
11.935,12.035,357.39,0.69
11.958,12.058,357.39,0.76
11.981,12.081,357.39,0.83
12.005,12.105,357.39,0.83
12.028,12.128,357.39,0.83
12.051,12.151,357.39,0.83
12.074,12.174,357.39,0.89
12.098,12.198,357.39,0.89
12.121,12.221,357.39,0.89
12.144,12.244,355.33,0.89
12.167,12.267,355.33,0.89
12.19,12.29,355.33,0.89
12.214,12.314,355.33,0.89
12.237,12.337,353.29,0.83
12.26,12.36,353.29,0.76
12.283,12.383,353.29,0.69
12.307,12.407,351.25,0.62
12.33,12.43,351.25,0.48
12.353,12.453,351.25,0.32
12.376,12.476,351.25,0.08
12.399,12.499,347.22,0.01
12.423,12.523,343.23,0.01
12.446,12.546,297.08,0.01
